iso3,rain_mm_year,year
AGO,1118.2797643164263,2005
BEN,995.1278166042175,2005
BWA,406.99872269981637,2005
CAF,1334.1582866682936,2005
CMR,1532.3833980955183,2005
COG,1412.4804466078058,2005
ETH,816.5869424217739,2005
GAB,1635.8948560133576,2005
KEN,379.847357100487,2005
LSO,831.0741613507271,2005
MDG,1490.4224301063352,2005
MLI,190.77512512011162,2005
MOZ,860.9842571284001,2005
MWI,897.4001733064651,2005
NAM,266.19298853979456,2005
NER,224.12346432682057,2005
NGA,1267.4527969531111,2005
SDN,303.7154405439817,2005
SOM,287.79661128369895,2005
SWZ,723.9917469471693,2005
TCD,383.5613253403903,2005
TGO,1131.3389054946601,2005
TZA,741.5506304945114,2005
UGA,1111.6401558127254,2005
ZAF,434.96951824325384,2005
ZMB,836.7624977010164,2005
ZWE,537.3154938947506,2005
