iso3,rain_mm_year,year
AGO,1120.7413878452428,2005
BEN,995.1278166042175,2005
BWA,408.546033498732,2005
CAF,1334.2097434320092,2005
CMR,1532.6309466667615,2005
COG,1412.546241021235,2005
ETH,815.7969158148912,2005
GAB,1635.8948560133576,2005
KEN,379.9009145510096,2005
LSO,831.0741613507271,2005
MDG,1493.7193452784581,2005
MLI,191.42206686873638,2005
MOZ,863.4091741424392,2005
MWI,897.3328269226938,2005
NAM,268.42474137286223,2005
NER,226.93298746417744,2005
NGA,1269.318900461405,2005
SDN,308.91181050198,2005
SOM,287.96113060639277,2005
SWZ,723.9917469471693,2005
TCD,389.8694535380946,2005
TGO,1131.010710623795,2005
TZA,741.3979203104361,2005
UGA,1111.7839769062778,2005
ZAF,435.24534885127,2005
ZMB,837.5419432608376,2005
ZWE,538.3188604124975,2005
